"trial","ref_position","var_area","response","correct","rt"
1,"R",13.6675455600489,"L",TRUE,1.09400010108948
2,"L",9.56496223225258,"R",TRUE,0.996000051498413
3,"L",12.6924116718583,"R",TRUE,0.994999885559082
4,"L",14.4281134591438,"R",TRUE,0.892999887466431
5,"R",11.7573510662187,"L",TRUE,1.09400010108948
6,"L",12.181375334505,"R",TRUE,0.895999908447266
7,"R",11.6236322293989,"L",TRUE,0.889999866485596
8,"L",10.4983130076434,"R",TRUE,0.995000123977661
9,"R",8.86612085369416,"R",TRUE,0.990999937057495
10,"R",12.3342450116761,"R",FALSE,0.990000009536743
11,"L",9.45020526531152,"R",TRUE,0.593999862670898
12,"R",14.0125261880457,"L",TRUE,1.69300007820129
13,"R",10.5120480281767,"R",FALSE,0.995000123977661
14,"R",11.1089676478878,"L",TRUE,1.29200005531311
15,"R",14.7892003639136,"L",TRUE,1.09200000762939
16,"L",8.76088517671451,"R",FALSE,0.989000082015991
17,"L",11.725446999073,"R",TRUE,1.19099998474121
18,"R",11.9292466209736,"L",TRUE,1.09400010108948
19,"R",9.75882487511262,"L",TRUE,1.29200005531311
20,"L",13.0419734606985,"R",TRUE,0.890999794006348
21,"R",12.1499852081761,"L",TRUE,1.09100008010864
22,"L",11.1663510354701,"R",TRUE,0.995000123977661
23,"R",13.7472088639624,"L",TRUE,0.993000030517578
24,"L",12.7971855490468,"R",TRUE,0.993000030517578
25,"R",8.32764258957468,"R",TRUE,1.38800001144409
26,"L",14.4604522190057,"R",TRUE,0.999000072479248
27,"L",13.9616417689249,"R",TRUE,0.993000030517578
28,"R",14.5068135801703,"L",TRUE,0.991999864578247
29,"L",13.8899050515611,"R",TRUE,0.894999980926514
30,"R",13.1780296454672,"L",TRUE,0.891999959945679
31,"L",11.9309657819103,"R",TRUE,1.19400000572205
